graph_id,num_nodes
0,18
1,25
2,60
3,19
4,16
5,48
6,17
7,18
8,60
9,21
10,17
11,24
12,20
13,16
14,17
15,20
16,19
17,52
18,24
19,29
20,111
21,35
22,20
23,32
24,17
25,19
26,28
27,17
28,22
29,28
30,28
31,24
32,20
33,21
34,20
35,29
36,53
37,123
38,17
39,34
40,31
41,19
42,20
43,24
44,24
45,42
46,21
47,32
48,24
49,28
50,16
51,34
52,24
53,23
54,34
55,23
56,15
57,37
58,26
59,19
60,33
61,17
62,22
63,54
64,16
65,17
66,34
67,19
68,19
69,25
70,17
71,27
72,20
73,25
74,20
75,64
76,38
77,21
78,60
79,29
80,115
81,47
82,19
83,31
84,50
85,28
86,29
87,32
88,15
89,39
90,26
91,32
92,16
93,47
94,21
95,34
96,39
97,24
98,34
99,28
100,21
101,33
102,23
103,18
104,18
105,16
106,58
107,28
108,30
109,41
110,22
111,24
112,18
113,17
114,44
115,24
116,21
117,60
118,22
119,22
120,22
121,28
122,21
123,30
124,38
125,24
126,17
127,23
128,25
129,17
130,25
131,19
132,17
133,21
134,43
135,38
136,31
137,22
138,29
139,15
140,23
141,35
142,31
143,25
144,45
145,48
146,22
147,15
148,29
149,27
150,26
151,17
152,19
153,27
154,15
155,26
156,15
157,52
158,60
159,25
160,43
161,20
162,53
163,25
164,32
165,15
166,22
167,54
168,16
169,23
170,18
171,26
172,38
173,20
174,77
175,27
176,32
177,18
178,21
179,31
180,25
181,15
182,26
183,15
184,15
185,22
186,15
187,38
188,22
189,42
190,19
191,20
192,29
193,17
194,18
195,15
196,17
197,38
198,24
199,77
200,16
201,79
202,25
203,30
204,24
205,47
206,61
207,27
208,21
209,18
210,24
211,19
212,40
213,43
214,45
215,52
216,28
217,20
218,19
219,34
220,23
221,30
222,16
223,44
224,35
225,59
226,18
227,29
228,21
229,23
230,76
231,30
232,29
233,24
234,26
235,23
236,31
237,53
238,19
239,20
240,38
241,48
242,200
243,30
244,26
245,29
246,36
247,25
248,44
249,52
250,24
251,193
252,39
253,17
254,32
255,27
256,16
257,22
258,35
259,20
260,19
261,24
262,41
263,31
264,21
265,30
266,17
267,21
268,21
269,16
270,31
271,29
272,44
273,42
274,34
275,30
276,38
277,27
278,15
279,53
280,22
281,30
282,47
283,50
284,18
285,26
286,26
287,17
288,32
289,27
290,20
291,16
292,39
293,15
294,41
295,59
296,35
297,20
298,20
299,30
300,42
301,18
302,16
303,17
304,21
305,26
306,23
307,57
308,34
309,22
310,44
311,25
312,64
313,42
314,39
315,20
316,51
317,23
318,25
319,21
320,15
321,24
322,17
323,55
324,29
325,26
326,24
327,17
328,62
329,19
330,19
331,19
332,59
333,25
334,15
335,23
336,25
337,26
338,19
339,36
340,31
341,30
342,25
343,17
344,21
345,83
346,26
347,59
348,19
349,43
350,49
351,25
352,19
353,21
354,16
355,16
356,20
357,26
358,62
359,33
360,26
361,36
362,22
363,38
364,44
365,31
366,20
367,21
368,34
369,22
370,33
371,24
372,35
373,23
374,22
375,46
376,34
377,20
378,91
379,29
380,18
381,34
382,18
383,19
384,39
385,20
386,19
387,21
388,29
389,15
390,28
391,23
392,23
393,32
394,15
395,25
396,26
397,16
398,22
399,26
400,32
401,34
402,33
403,24
404,22
405,48
406,34
407,19
408,16
409,118
410,29
411,30
412,118
413,31
414,18
415,43
416,19
417,20
418,21
419,46
420,21
421,17
422,97
423,64
424,54
425,23
426,52
427,43
428,22
429,15
430,20
431,39
432,38
433,23
434,32
435,16
436,16
437,52
438,30
439,45
440,18
441,24
442,39
443,54
444,21
445,64
446,68
447,42
448,20
449,32
450,64
451,19
452,21
453,28
454,38
455,31
456,18
457,34
458,36
459,16
460,40
461,25
462,19
463,19
464,18
465,23
466,28
467,44
468,18
469,32
470,32
471,17
472,17
473,15
474,62
475,20
476,16
477,26
478,29
479,22
480,24
481,41
482,26
483,37
484,47
485,16
486,43
487,39
488,16
489,44
490,20
491,43
492,24
493,17
494,17
495,31
496,58
497,24
498,21
499,16
500,53
501,18
502,23
503,17
504,21
505,30
506,44
507,29
508,19
509,16
510,40
511,22
512,51
513,21
514,48
515,22
516,19
517,22
518,19
519,29
520,44
521,21
522,30
523,24
524,22
525,19
526,40
527,38
528,35
529,21
530,46
531,32
532,134
533,36
534,36
535,18
536,52
537,25
538,22
539,30
540,43
541,32
542,18
543,18
544,23
545,17
546,34
547,20
548,18
549,19
550,25
551,19
552,27
553,30
554,19
555,31
556,31
557,19
558,95
559,45
560,16
561,34
562,16
563,26
564,31
565,19
566,16
567,49
568,31
569,26
570,24
571,60
572,22
573,31
574,17
575,17
576,81
577,94
578,16
579,56
580,46
581,21
582,24
583,68
584,24
585,40
586,44
587,28
588,42
589,63
590,23
591,19
592,17
593,24
594,23
595,19
596,23
597,36
598,31
599,21
600,75
601,38
602,170
603,18
604,21
605,17
606,49
607,24
608,20
609,29
610,31
611,27
612,37
613,27
614,39
615,17
616,20
617,19
618,24
619,34
620,18
621,25
622,54
623,28
624,49
625,41
626,28
627,23
628,23
629,28
630,19
631,21
632,16
633,36
634,72
635,16
636,26
637,40
638,22
639,110
640,22
641,44
642,35
643,16
644,28
645,23
646,23
647,34
648,44
649,75
650,22
651,15
652,181
653,26
654,44
655,37
656,18
657,17
658,37
659,32
660,20
661,55
662,67
663,18
664,20
665,22
666,50
667,20
668,17
669,182
670,35
671,19
672,20
673,23
674,54
675,23
676,24
677,22
678,19
679,29
680,31
681,15
682,17
683,23
684,24
685,29
686,44
687,23
688,30
689,17
690,40
691,132
692,24
693,18
694,15
695,18
696,44
697,22
698,57
699,62
700,25
701,22
702,22
703,22
704,31
705,22
706,45
707,26
708,19
709,21
710,18
711,22
712,16
713,17
714,19
715,21
716,21
717,43
718,18
719,40
720,24
721,19
722,15
723,36
724,43
725,24
726,18
727,15
728,27
729,40
730,40
731,24
732,38
733,33
734,22
735,17
736,22
737,17
738,24
739,19
740,42
741,24
742,17
743,20
744,33
745,55
746,25
747,44
748,19
749,41
750,63
751,29
752,24
753,19
754,20
755,32
756,24
757,34
758,18
759,20
760,23
761,37
762,25
763,77
764,22
765,21
766,15
767,39
768,38
769,41
770,35
771,23
772,30
773,35
774,19
775,38
776,17
777,117
778,33
779,21
780,16
781,28
782,23
783,15
784,31
785,29
786,18
787,21
788,18
789,27
790,28
791,28
792,29
793,20
794,16
795,22
796,21
797,43
798,128
799,18
800,31
801,15
802,19
803,15
804,42
805,22
806,25
807,27
808,40
809,56
810,30
811,24
812,19
813,23
814,34
815,24
816,20
817,18
818,27
819,30
820,27
821,15
822,30
823,28
824,44
825,16
826,42
827,19
828,17
829,20
830,105
831,36
832,26
833,20
834,16
835,38
836,15
837,50
838,33
839,18
840,18
841,35
842,24
843,23
844,27
845,44
846,28
847,19
848,15
849,42
850,17
851,72
852,27
853,31
854,40
855,23
856,21
857,48
858,22
859,52
860,36
861,26
862,27
863,19
864,18
865,30
866,18
867,19
868,19
869,28
870,18
871,34
872,64
873,22
874,27
875,22
876,50
877,49
878,40
879,15
880,21
881,18
882,19
883,18
884,85
885,19
886,33
887,19
888,22
889,36
890,95
891,39
892,30
893,16
894,17
895,39
896,15
897,40
898,27
899,21
900,42
901,16
902,48
903,56
904,25
905,16
906,20
907,17
908,18
909,19
910,36
911,22
912,27
913,22
914,22
915,63
916,36
917,25
918,18
919,16
920,43
921,38
922,20
923,21
924,35
925,27
926,20
927,27
928,18
929,18
930,16
931,17
932,24
933,16
934,19
935,24
936,81
937,30
938,20
939,25
940,30
941,22
942,24
943,47
944,58
945,20
946,21
947,26
948,20
949,25
950,17
951,32
952,116
953,24
954,30
955,19
956,42
957,53
958,24
959,25
960,16
961,18
962,25
963,19
964,47
965,40
966,19
967,16
968,24
969,23
970,30
971,32
972,19
973,25
974,55
975,15
976,44
977,21
978,17
979,25
980,37
981,15
982,49
983,22
984,41
985,21
986,21
987,17
988,27
989,21
990,20
991,22
992,27
993,23
994,18
995,22
996,25
997,20
998,33
999,22
1000,48
1001,18
1002,15
1003,32
1004,43
1005,34
1006,22
1007,25
1008,50
1009,30
1010,15
1011,27
1012,17
1013,20
1014,19
1015,24
1016,16
1017,18
1018,23
1019,36
1020,90
1021,52
1022,36
1023,54
1024,21
1025,48
1026,21
1027,20
1028,48
1029,55
1030,24
1031,75
1032,32
1033,39
1034,19
1035,28
1036,54
1037,50
1038,26
1039,21
1040,19
1041,44
1042,16
1043,59
1044,85
1045,32
1046,27
1047,68
1048,105
1049,29
1050,26
1051,39
1052,51
1053,24
1054,17
1055,91
1056,19
1057,24
1058,22
1059,24
1060,29
1061,17
1062,48
1063,80
1064,23
1065,21
1066,44
1067,58
1068,15
1069,22
1070,15
1071,20
1072,23
1073,19
1074,39
1075,79
1076,20
1077,33
1078,22
1079,184
1080,27
1081,15
1082,27
1083,39
1084,26
1085,22
1086,18
1087,15
1088,27
1089,20
1090,34
1091,20
1092,26
1093,178
1094,19
1095,22
1096,56
1097,44
1098,31
1099,22
1100,22
1101,18
1102,15
1103,87
1104,20
1105,35
1106,16
1107,18
1108,16
1109,22
1110,16
1111,32
1112,28
1113,21
1114,18
1115,34
1116,24
1117,25
1118,17
1119,22
1120,31
1121,23
1122,48
1123,25
1124,34
1125,18
1126,153
1127,53
1128,105
1129,24
1130,26
1131,23
1132,26
1133,18
1134,30
1135,18
1136,39
1137,19
1138,18
1139,20
1140,22
1141,17
1142,17
1143,48
1144,27
1145,24
1146,21
1147,44
1148,43
1149,17
1150,19
1151,25
1152,19
1153,24
1154,41
1155,15
1156,20
1157,173
1158,35
1159,18
1160,31
1161,24
1162,23
1163,27
1164,19
1165,27
1166,25
1167,38
1168,55
1169,44
1170,28
1171,42
1172,42
1173,26
1174,17
1175,22
1176,17
1177,22
1178,36
1179,63
1180,21
1181,20
1182,18
1183,27
1184,25
1185,54
1186,17
1187,33
1188,18
1189,37
1190,17
1191,50
1192,27
1193,24
1194,31
1195,19
1196,41
1197,18
1198,33
1199,33
1200,24
1201,53
1202,27
1203,16
1204,26
1205,47
1206,37
1207,16
1208,31
1209,16
1210,36
1211,17
1212,22
1213,72
1214,25
1215,21
1216,18
1217,36
1218,23
1219,18
1220,36
1221,17
1222,25
1223,58
1224,36
1225,51
1226,25
1227,27
1228,54
1229,16
1230,17
1231,21
1232,21
1233,19
1234,21
1235,25
1236,27
1237,40
1238,21
1239,49
1240,23
1241,41
1242,20
1243,26
1244,42
1245,19
1246,32
1247,23
1248,24
1249,23
1250,19
1251,24
1252,51
1253,24
1254,19
1255,56
1256,31
1257,17
1258,23
1259,30
1260,33
1261,24
1262,23
1263,22
1264,16
1265,15
1266,26
1267,25
1268,31
1269,22
1270,20
1271,25
1272,21
1273,28
1274,15
1275,18
1276,34
1277,79
1278,22
1279,32
1280,26
1281,17
1282,36
1283,26
1284,111
1285,27
1286,50
1287,15
1288,24
1289,28
1290,38
1291,29
1292,16
1293,23
1294,20
1295,52
1296,26
1297,16
1298,16
1299,26
1300,57
1301,18
1302,39
1303,15
1304,39
1305,33
1306,48
1307,52
1308,26
1309,39
1310,17
1311,20
1312,20
1313,42
1314,15
1315,18
1316,21
1317,15
1318,31
1319,42
1320,27
1321,32
1322,16
1323,36
1324,24
1325,29
1326,23
1327,99
1328,16
1329,28
1330,26
1331,22
1332,28
1333,32
1334,18
1335,28
1336,19
1337,21
1338,17
1339,16
1340,66
1341,20
1342,32
1343,38
1344,28
1345,24
1346,35
1347,34
1348,22
1349,41
1350,27
1351,32
1352,15
1353,22
1354,58
1355,17
1356,23
1357,52
1358,20
1359,34
1360,23
1361,21
1362,40
1363,21
1364,16
1365,20
1366,18
1367,24
1368,48
1369,50
1370,42
1371,28
1372,31
1373,16
1374,40
1375,45
1376,15
1377,21
1378,72
1379,30
1380,18
1381,29
1382,25
1383,29
1384,26
1385,27
1386,18
1387,30
1388,30
1389,40
1390,76
1391,32
1392,17
1393,42
1394,16
1395,19
1396,22
1397,31
1398,54
1399,26
1400,16
1401,17
1402,16
1403,20
1404,34
1405,18
1406,26
1407,22
1408,23
1409,25
1410,17
1411,24
1412,25
1413,24
1414,22
1415,30
1416,34
1417,38
1418,20
1419,24
1420,49
1421,25
1422,23
1423,35
1424,32
1425,25
1426,27
1427,24
1428,29
1429,44
1430,15
1431,48
1432,16
1433,17
1434,38
1435,17
1436,25
1437,18
1438,31
1439,19
1440,23
1441,18
1442,42
1443,35
1444,20
1445,20
1446,23
1447,22
1448,24
1449,19
1450,39
1451,69
1452,32
1453,28
1454,52
1455,22
1456,16
1457,26
1458,43
1459,25
1460,17
1461,57
1462,17
1463,17
1464,40
1465,27
1466,34
1467,36
1468,20
1469,77
1470,17
1471,38
1472,91
1473,43
1474,19
1475,16
1476,18
1477,23
1478,34
1479,30
1480,40
1481,38
1482,42
1483,27
1484,23
1485,22
1486,33
1487,321
1488,15
1489,24
1490,35
1491,22
1492,17
1493,79
1494,26
1495,22
1496,19
1497,23
1498,35
1499,17
1500,21
1501,19
1502,21
1503,26
1504,15
1505,42
1506,22
1507,29
1508,25
1509,30
1510,103
1511,18
1512,21
1513,36
1514,22
1515,38
1516,34
1517,32
1518,20
1519,30
1520,27
1521,29
1522,45
1523,17
1524,17
1525,48
1526,16
1527,20
1528,22
1529,35
1530,40
1531,16
1532,23
1533,66
1534,24
1535,20
1536,33
1537,16
1538,15
1539,30
1540,24
1541,20
1542,20
1543,38
1544,37
1545,43
1546,23
1547,33
1548,23
1549,28
1550,62
1551,20
1552,52
1553,21
1554,33
1555,52
1556,22
1557,20
1558,34
1559,21
1560,38
1561,33
1562,78
1563,28
1564,29
1565,18
1566,52
1567,20
1568,17
1569,19
1570,17
1571,27
1572,18
1573,28
1574,24
1575,15
1576,45
1577,52
1578,16
1579,19
1580,59
1581,23
1582,30
1583,35
1584,24
1585,29
1586,22
1587,22
1588,36
1589,44
1590,17
1591,20
1592,78
1593,23
1594,20
1595,22
1596,25
1597,17
1598,27
1599,20
1600,40
1601,65
1602,23
1603,44
1604,21
1605,19
1606,15
1607,16
1608,16
1609,17
1610,19
1611,31
1612,36
1613,33
1614,40
1615,46
1616,47
1617,20
1618,18
1619,19
1620,34
1621,197
1622,26
1623,19
1624,16
1625,38
1626,32
1627,39
1628,18
1629,19
1630,43
1631,29
1632,18
1633,26
1634,22
1635,28
1636,18
1637,21
1638,26
1639,116
1640,17
1641,19
1642,26
1643,36
1644,61
1645,32
1646,39
1647,25
1648,37
1649,31
1650,90
1651,21
1652,21
1653,25
1654,17
1655,18
1656,40
1657,25
1658,64
1659,28
1660,32
1661,22
1662,29
1663,54
1664,15
1665,24
1666,40
1667,29
1668,63
1669,21
1670,31
1671,96
1672,18
1673,26
1674,35
1675,48
1676,63
1677,19
1678,44
1679,48
1680,27
1681,37
1682,83
1683,24
1684,18
1685,17
1686,36
1687,16
1688,39
1689,32
1690,25
1691,30
1692,33
1693,23
1694,23
1695,22
1696,24
1697,18
1698,18
1699,22
1700,28
1701,20
1702,33
1703,48
1704,20
1705,27
1706,29
1707,20
1708,26
1709,19
1710,20
1711,53
1712,18
1713,21
1714,15
1715,52
1716,76
1717,18
1718,20
1719,44
1720,17
1721,28
1722,28
1723,35
1724,21
1725,54
1726,41
1727,17
1728,108
1729,21
1730,46
1731,50
1732,19
1733,26
1734,34
1735,28
1736,30
1737,28
1738,30
1739,21
1740,23
1741,17
1742,22
1743,21
1744,20
1745,21
1746,51
1747,30
1748,42
1749,22
1750,20
1751,27
1752,37
1753,44
1754,16
1755,31
1756,19
1757,26
1758,18
1759,20
1760,34
1761,28
1762,33
1763,16
1764,27
1765,36
1766,61
1767,16
1768,48
1769,29
1770,22
1771,19
1772,44
1773,36
1774,75
1775,23
1776,21
1777,42
1778,17
1779,21
1780,34
1781,24
1782,19
1783,23
1784,31
1785,25
1786,21
1787,22
1788,35
1789,30
1790,19
1791,16
1792,23
1793,70
1794,16
1795,32
1796,22
1797,21
1798,22
1799,19
1800,33
1801,25
1802,58
1803,174
1804,44
1805,19
1806,25
1807,49
1808,18
1809,17
1810,19
1811,20
1812,53
1813,22
1814,23
1815,29
1816,24
1817,47
1818,22
1819,18
1820,20
1821,49
1822,26
1823,21
1824,17
1825,21
1826,69
1827,20
1828,16
1829,17
1830,36
1831,21
1832,26
1833,20
1834,26
1835,40
1836,61
1837,26
1838,32
1839,28
1840,35
1841,15
1842,25
1843,26
1844,57
1845,19
1846,70
1847,19
1848,40
1849,19
1850,86
1851,78
1852,18
1853,20
1854,21
1855,52
1856,33
1857,38
1858,34
1859,15
1860,32
1861,15
1862,46
1863,25
1864,34
1865,18
1866,19
1867,25
1868,29
1869,25
1870,22
1871,65
1872,40
1873,17
1874,46
1875,22
1876,17
1877,38
1878,18
1879,18
1880,16
1881,24
1882,19
1883,36
1884,40
1885,15
1886,47
1887,21
1888,62
1889,30
1890,52
1891,24
1892,22
1893,16
1894,21
1895,23
1896,54
1897,24
1898,23
1899,28
1900,17
1901,36
1902,23
1903,48
1904,20
1905,17
1906,16
1907,19
1908,66
1909,37
1910,27
1911,24
1912,22
1913,38
1914,40
1915,15
1916,24
1917,41
1918,21
1919,26
1920,15
1921,20
1922,18
1923,20
1924,86
1925,44
1926,24
1927,128
1928,17
1929,17
1930,21
1931,49
1932,22
1933,22
1934,28
1935,25
1936,24
1937,28
1938,22
1939,17
1940,54
1941,29
1942,23
1943,15
1944,25
1945,30
1946,21
1947,16
1948,52
1949,28
1950,29
1951,22
1952,21
1953,16
1954,42
1955,16
1956,28
1957,21
1958,36
1959,16
1960,24
1961,17
1962,36
1963,17
1964,15
1965,18
1966,19
1967,31
1968,16
1969,19
1970,24
1971,17
1972,39
1973,24
1974,18
1975,25
1976,18
1977,30
1978,38
1979,31
1980,29
1981,125
1982,24
1983,24
1984,25
1985,31
1986,88
1987,17
1988,54
1989,40
1990,30
1991,34
1992,18
1993,38
1994,20
1995,46
1996,27
1997,22
1998,29
1999,18
2000,22
2001,17
2002,23
2003,19
2004,34
2005,34
2006,17
2007,44
2008,20
2009,19
2010,21
2011,51
2012,41
2013,24
2014,52
2015,21
2016,38
2017,19
2018,29
2019,18
2020,20
2021,37
2022,32
2023,31
2024,17
2025,72
2026,28
2027,28
2028,32
2029,19
2030,29
2031,87
2032,30
2033,24
2034,25
2035,40
2036,21
2037,103
2038,21
2039,32
2040,19
2041,77
2042,18
2043,16
2044,28
2045,16
2046,26
2047,32
2048,17
2049,23
2050,63
2051,26
2052,24
2053,22
2054,24
2055,16
2056,25
2057,70
2058,19
2059,30
2060,25
2061,55
2062,46
2063,27
2064,19
2065,59
2066,17
2067,42
2068,31
2069,15
2070,28
2071,20
2072,24
2073,21
2074,36
2075,17
2076,31
2077,17
2078,45
2079,20
2080,15
2081,40
2082,16
2083,55
2084,67
2085,19
2086,16
2087,20
2088,31
2089,19
2090,17
2091,31
2092,20
2093,15
2094,33
2095,17
2096,109
2097,18
2098,20
2099,35
2100,18
2101,36
2102,17
2103,25
2104,23
2105,27
2106,26
2107,34
2108,18
2109,21
2110,39
2111,28
2112,30
2113,20
2114,39
2115,24
2116,24
2117,19
2118,323
2119,38
2120,38
2121,64
2122,18
2123,24
2124,34
2125,41
2126,24
2127,16
2128,40
2129,18
2130,24
2131,19
2132,49
2133,44
2134,30
2135,31
2136,46
2137,21
2138,26
2139,41
2140,53
2141,16
2142,35
2143,25
2144,30
2145,18
2146,23
2147,23
2148,76
2149,26
2150,39
2151,33
